packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
392,0,0.0,0.0,0,0,2.9833590984344482,0.007630074420548461,0.024977725838281388,1.0,0.0,8,8,0.0,131.39551326747977,0.9820971867007673,1,reels_01,133
54,0,0.0,0.0,0,0,2.6680829524993896,0.05034118778300735,0.09088068343918045,1.0,0.0,5,4,0.0,20.239250788441275,0.8113207547169812,1,reels_01,134
1372,0,0.0,0.0,0,0,2.7699739933013916,0.002020404079723845,0.00972705815612668,1.0,0.0,8,8,0.0,495.31150953687575,0.9978118161925602,1,reels_01,135
23,0,0.0,0.0,0,0,1.0273470878601074,0.046697594902732155,0.14343096492591587,1.0,0.0,3,3,0.0,22.387759961346074,0.9090909090909091,1,reels_01,136
1249,0,0.0,0.0,0,0,2.9205269813537598,0.0023401658504437176,0.014165120967480927,1.0,0.0,6,6,0.0,427.66254445663355,0.9951923076923077,1,reels_01,137
115,0,0.0,0.0,0,0,2.969367027282715,0.02604707918669048,0.05787462345661836,1.0,0.0,5,5,0.0,38.72879268321275,0.9210526315789473,1,reels_01,138
1549,0,0.0,0.0,0,0,2.9429240226745605,0.0019011137097380882,0.02305897197024576,1.0,0.0,6,6,0.0,526.3472614533393,0.9941860465116279,1,reels_01,139
212,0,0.0,0.0,0,0,2.535871982574463,0.01201835062831499,0.04090290983991049,1.0,0.0,3,3,0.0,83.60043466578064,0.9715639810426541,1,reels_01,140
143,0,0.0,0.0,0,0,2.8279969692230225,0.019915471614246637,0.07839679751561214,1.0,0.0,5,5,0.0,50.56582505436295,0.9577464788732394,1,reels_01,141
1253,0,0.0,0.0,0,0,2.99761700630188,0.002394262784586166,0.015407480446820191,1.0,0.0,6,5,0.0,417.9986960861986,0.9952076677316294,1,reels_01,142
40,0,0.0,0.0,0,0,2.6770780086517334,0.06864302586286496,0.12975919889324677,1.0,0.0,7,7,0.0,14.941663960007407,0.8461538461538461,1,reels_01,143
1167,0,0.0,0.0,0,0,2.986217975616455,0.0025610788813177146,0.02712268400858472,1.0,0.0,7,6,0.0,390.795316861989,0.9965694682675815,1,reels_01,144
115,0,0.0,0.0,0,0,2.949953079223633,0.025876781396698533,0.05617528448997298,1.0,0.0,7,6,0.0,38.98367089630647,0.9122807017543859,1,reels_01,145
887,0,0.0,0.0,0,0,2.9527862071990967,0.003332715809479793,0.04166731031445744,1.0,0.0,6,6,0.0,300.3942506360375,0.9920993227990971,1,reels_01,146
148,0,0.0,0.0,0,0,2.4626989364624023,0.01675305398954015,0.04919675860770317,1.0,0.0,5,4,0.0,60.096667850353576,0.9727891156462585,1,reels_01,147
27,0,0.0,0.0,0,0,1.405379056930542,0.054053040651174694,0.11995350820748588,1.0,0.0,5,5,0.0,19.211898645316456,0.8846153846153846,1,reels_01,148
50,0,0.0,0.0,0,0,2.832641124725342,0.05780900254541514,0.10033617176512881,1.0,0.0,5,5,0.0,17.651371210974737,0.8367346938775511,1,reels_01,149
36,0,0.0,0.0,0,0,2.0572800636291504,0.058779430389404294,0.12478817866943433,1.0,0.0,6,5,0.0,17.49883286988846,0.8571428571428571,1,reels_01,150
1220,0,0.0,0.0,0,0,2.9814391136169434,0.002445807312237033,0.010392256968586172,1.0,0.0,7,7,0.0,409.1983614315547,0.9983593109105825,1,reels_01,151
3,0,0.0,0.0,0,0,0.00012803077697753906,6.401538848876953e-05,6.401538848876953e-05,1.0,0.0,2,2,0.0,23431.86592178771,1.0,1,reels_01,152
47,0,0.0,0.0,0,0,2.873986005783081,0.06247795664745828,0.20223538253581208,1.0,0.0,14,13,0.0,16.35359389552553,0.8913043478260869,1,youtube_shorts_01,0
